# ----------------------------------------
# Events
# ----------------------------------------
Event Name,Count,Users,Mark as conversion
Add_Wallet_Btn_Click,919,612,false
Add_Wallet_Success,605,548,false
app_exception,5,3,false
app_update,603,598,false
Backup_HomeReceive_Click,67,42,false
Backup_HomeReceive_Show,278,88,false
Backup_HomeReceive_Success,22,22,false
Backup_Keystore_Click,145,94,false
Backup_Mnemonic_Click,9,9,false
Backup_Mnemonic_Success,943,576,false
Backup_NewUser_Click,500,479,false
Backup_NewUser_Success,772,522,false
Backup_PrivateKey_Click,163,106,false
Backup_TokenDetail_Click,3,3,false
Backup_TokenDetail_Success,1,1,false
Backup_WalletDetail_Click,14,9,false
Backup_WalletDetail_Success,8,8,false
COIN_DETAIL,1,1,false
Create_Wallet_Btn_Click,645,519,false
Create_Wallet_Use_Complex_Pwd,98,97,false
Create_Wallet_Use_Simple_Pwd,418,397,false
Discover_Showed,2491,783,false
Exchange_AddressSuccess_Show,454,450,false
Exchange_Agreement_Click,611,606,false
Exchange_Confirm_Click,378,319,false
Exchange_CopyAddress_Click,684,365,false
Exchange_Entrance_Click,5116,811,false
Exchange_ImportTokens_Show,1495,427,false
Exchange_NewBackup_Success,422,420,false
Exchange_NoNeed_Click,69,61,false
Exchange_OldBackup_Click,58,46,false
Exchange_OldBackup_Success,939,573,false
Exchange_QRcode_Click,80,68,false
Exchange_SetNewAddress_Show,603,488,false
Exchange_Start_Click,655,625,false
first_open,594,590,true
Home_Feed_Click,1465,551,false
Home_Hidden_Detail,727,323,false
Home_Receive,1634,603,false
Home_Send,758,340,false
Home_Show_Detail,707,318,false
Home_Urgent_For_Backups,182,118,false
os_update,274,272,false
Receive_Copy_Click,413,243,false
Receive_Save_Click,43,40,false
Receive_Share_Click,142,87,false
screen_view,68995,1196,true
session_start,4490,1105,false
Sign_In,5434,1196,false
Transfer_Change_Gas,54,33,false
Transfer_Click_Coin_Detail,207,119,false
Transfer_Confirm_Transfer,227,85,false
Transfer_Failed,8,2,false
Transfer_Showed,919,347,false
Transfer_Success,181,79,false
Transfer_Tap_Transfer,371,102,false
WALLET_DETAIL,1,1,false
Wallet_Import_By_Keystore,96,48,false
Wallet_Import_By_Mnemonic,114,90,false
Wallet_Import_By_PK,53,34,false
Wallet_Import_Methods_Showed,216,148,false
Wallet_Import_Success,89,75,false
Wallet_Import_Success_By_Keystore,17,12,false
Wallet_Import_Success_By_Mnemonic,54,50,false
Wallet_Import_Success_By_PK,18,15,false
WalletCreated,516,492,true
